codepoint,name
E0D1,LATIN CAPITAL LETTER E WITH DOUBLE ACUTE
E0D2,LATIN CAPITAL LETTER E WITH CARON AND ACUTE ABOVE
E0D3,LATIN CAPITAL LETTER E WITH CARON AND TILDE ABOVE
E0D4,LATIN CAPITAL LETTER E WITH CARON AND DOUBLE ACUTE
E0D5,LATIN CAPITAL LETTER E WITH CARON AND INVERTED BREVE
E0D6,LATIN CAPITAL LETTER E WITH INVERTED BREVE AND DOT BELOW
E0D7,LATIN CAPITAL LETTER E WITH INVERTED BREVE AND OGONEK
E0D8,LATIN CAPITAL LETTER E WITH COMMA ABOVE
E0D9,LATIN CAPITAL LETTER E WITH LEFT HALF RING BELOW
E0DA,LATIN CAPITAL LETTER E WITH RETROFLEX HOOK BELOW
E0DB,LATIN CAPITAL LETTER E WITH RING BELOW
E0DC,LATIN CAPITAL LETTER E WITH BREVE BELOW
E0DD,LATIN CAPITAL LETTER E WITH INVERTED BREVE BELOW
E0DE,LATIN CAPITAL LETTER E WITH MACRON BELOW
E0DF,LATIN CAPITAL LETTER E WITH LONG SOLIDUS OVERLAY
E0E0,LATIN CAPITAL LETTER E WITH RIGHT HALF RING BELOW
E0E1,LATIN CAPITAL LETTER E WITH LATIN SMALL LETTER A ABOVE
E0E2,LATIN CAPITAL LETTER E WITH LATIN SMALL LETTER I ABOVE
E0E3,LATIN CAPITAL LETTER E WITH LATIN SMALL LETTER V ABOVE
E0E4,LATIN CAPITAL LETTER E WITH TOCHARIAN BOW DOWN AND MODIFIER LETTER SMALL I SUBSCRIPT
E0E5,LATIN CAPITAL LETTER E WITH TOCHARIAN BOW DOWN AND MODIFIER LETTER SMALL U SUBSCRIPT
E0E6,LATIN CAPITAL LETTER E WITH INVERTED OGONEK
E0E7,LATIN CAPITAL LETTER E WITH MACRON ABOVE INCLOSED IN PARENTHESES
E0ED,LATIN CAPITAL LETTER F WITH PALATALIZED HOOK BELOW
E0EE,LATIN CAPITAL LETTER F WITH DOT BELOW
E0EF,LATIN CAPITAL LETTER F WITH ACUTE ABOVE RIGHT
E0F4,LATIN CAPITAL LETTER G WITH ACUTE AND MACRON
E0F5,LATIN CAPITAL LETTER G WITH TILDE ABOVE
E0F6,LATIN CAPITAL LETTER G WITH MACRON AND ACUTE
E0F7,LATIN CAPITAL LETTER G WITH MACRON AND SUPERSCRIPT ONE
E0F8,LATIN CAPITAL LETTER G WITH RING ABOVE
E0F9,LATIN CAPITAL LETTER G WITH DOUBLE ACUTE
E0FA,LATIN CAPITAL LETTER G WITH CARON AND DIAERESIS
E0FB,LATIN CAPITAL LETTER G WITH INVERTED BREVE
