codepoint,entity,name,versions
E8F3,wvsup,LATIN SMALL LETTER W WITH LATIN SMALL LETTER V ABOVE,MUFI: 3.0
EAD0,grlig,LATIN SMALL LIGATURE GR,MUFI: 3.0
EAD1,qvinslig,LATIN SMALL LIGATURE Q INSULAR V,MUFI: 3.0
EAD2,gplig,LATIN SMALL LIGATURE GP,MUFI: 3.0
EADA,slongdestlig,LATIN SMALL LIGATURE LONG S DESCENDING T,MUFI: 3.0
EAF0,aenlacute,LATIN ENLARGED LETTER SMALL A WITH ACUTE,MUFI: 3.0
EAF1,aeligenl,LATIN ENLARGED LETTER SMALL LIGATURE AE,MUFI: 3.0
EAF2,aenlosmalllig,LATIN LIGATURE ENLARGED LETTER SMALL A AND LATIN SMALL LETTER O,MUFI: 3.0
EAF3,eogonenl,LATIN ENLARGED LETTER SMALL E WITH OGONEK,MUFI: 3.0
EBA0,slongaumllig,LATIN SMALL LIGATURE LONG S A WITH DIAERESIS,MUFI: 3.0
EBA1,slonghlig,LATIN SMALL LIGATURE LONG S H,MUFI: 3.0
EBA2,slongilig,LATIN SMALL LIGATURE LONG S I,MUFI: 3.0
EBA3,slongllig,LATIN SMALL LIGATURE LONG S L,MUFI: 3.0
EBA4,slongoumllig,LATIN SMALL LIGATURE LONG S O WITH DIAERESIS,MUFI: 3.0
EBA5,slongplig,LATIN SMALL LIGATURE LONG S P,MUFI: 3.0
EBA6,slongslonglig,LATIN SMALL LIGATURE LONG S LONG S,MUFI: 3.0
EBA7,slongslongilig,LATIN SMALL LIGATURE LONG S LONG S I,MUFI: 3.0
EBA8,slongslongllig,LATIN SMALL LIGATURE LONG S LONG S L,MUFI: 3.0
EBA9,slongtilig,LATIN SMALL LIGATURE LONG S TI,MUFI: 3.0
EBAA,slongtrlig,LATIN SMALL LIGATURE LONG S TR,MUFI: 3.0
EBAB,slonguumllig,LATIN SMALL LIGATURE LONG S U WITH DIAERESIS,MUFI: 3.0
EBAC,slongvinslig,LATIN SMALL LIGATURE LONG S INSULAR V,MUFI: 3.0
EBAD,hslonglig,LATIN SMALL LIGATURE H AND LONG S,MUFI: 3.0
EBAE,kslonglig,LATIN SMALL LIGATURE K AND LONG S,MUFI: 3.0
EBAF,slongacute,LATIN SMALL LETTER LONG S WITH ACUTE,MUFI: 3.0
EBB0,AVligslashacute,LATIN CAPITAL LIGATURE AV WITH STROKE AND ACUTE,MUFI: 3.0
EBB1,avligslashacute,LATIN SMALL LIGATURE AV WITH STROKE AND ACUTE,MUFI: 3.0
EBB2,drotacute,LATIN SMALL LETTER D ROTUNDA WITH ACUTE,MUFI: 3.0
EBB3,Finsacute,LATIN CAPITAL LETTER INSULAR F WITH ACUTE,MUFI: 3.0
EBB4,finsacute,LATIN SMALL LETTER INSULAR F WITH ACUTE,MUFI: 3.0
EBB5,Muncacute,LATIN CAPITAL LETTER UNCIAL M WITH ACUTE,MUFI: 3.0
EBB6,muncacute,LATIN SMALL LETTER UNCIAL M WITH ACUTE,MUFI: 3.0
EBB7,Ocurlacute,LATIN CAPITAL LETTER O WITH CURL AND ACUTE,MUFI: 3.0
EBB8,ocurlacute,LATIN SMALL LETTER O WITH CURL AND ACUTE,MUFI: 3.0
EBB9,rrotacute,LATIN SMALL LETTER R ROTUNDA WITH ACUTE,MUFI: 3.0
EBBA,Vinsacute,LATIN CAPITAL LETTER INSULAR V (VEND) WITH ACUTE,MUFI: 3.0
EBBB,vinsacute,LATIN SMALL LETTER INSULAR V (VEND) WITH ACUTE,MUFI: 3.0
EBBD,eacombcirc,LATIN SMALL LETTER EA WITH CIRCUMFLEX,MUFI: 3.0
EBBE,eucombcirc,LATIN SMALL LETTER EU WITH CIRCUMFLEX,MUFI: 3.0
EBBF,ucurlbar,LATIN SMALL LETTER U WITH CURLY BAR ABOVE,MUFI: 3.0
EBC0,AOligdblac,LATIN CAPITAL LIGATURE AO WITH DOUBLE ACUTE,MUFI: 3.0
EBC1,aoligdblac,LATIN SMALL LIGATURE AO WITH DOUBLE ACUTE,MUFI: 3.0
EBC2,AVligdblac,LATIN CAPITAL LIGATURE AV WITH DOUBLE ACUTE,MUFI: 3.0
EBC3,avligdblac,LATIN SMALL LIGATURE AV WITH DOUBLE ACUTE,MUFI: 3.0
EBC4,Oogondblac,LATIN CAPITAL LETTER O WITH OGONEK AND DOUBLE ACUTE,MUFI: 3.0
EBC5,oogondblac,LATIN SMALL LETTER O WITH OGONEK AND DOUBLE ACUTE,MUFI: 3.0
EBC6,Oslashdblac,LATIN CAPITAL LETTER O WITH STROKE AND DOUBLE ACUTE,MUFI: 3.0
EBC7,oslashdblac,LATIN SMALL LETTER O WITH STROKE AND DOUBLE ACUTE,MUFI: 3.0
EBC8,OEligdblac,LATIN CAPITAL LIGATURE OE WITH DOUBLE ACUTE,MUFI: 3.0
EBC9,oeligdblac,LATIN SMALL LIGATURE OE WITH DOUBLE ACUTE,MUFI: 3.0
EBCA,YYligdblac,LATIN CAPITAL LIGATURE YY WITH DOUBLE ACUTE,MUFI: 3.0
EBCB,yyligdblac,LATIN SMALL LIGATURE YY WITH DOUBLE ACUTE,MUFI: 3.0
EBCD,Oslashdot,LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE,MUFI: 3.0
EBCE,oslashdot,LATIN SMALL LETTER O WITH STROKE AND DOT ABOVE,MUFI: 3.0
EBCF,pscapdot,LATIN LETTER SMALL CAPITAL P WITH DOT ABOVE,MUFI: 3.0
EBD0,bscapdot,LATIN LETTER SMALL CAPITAL B WITH DOT ABOVE,MUFI: 3.0
EBD1,drotdot,LATIN SMALL LETTER D ROTUNDA WITH DOT ABOVE,MUFI: 3.0
EBD2,dscapdot,LATIN LETTER SMALL CAPITAL D WITH DOT ABOVE,MUFI: 3.0
EBD3,Finsdot,LATIN CAPITAL LETTER INSULAR F WITH DOT ABOVE,MUFI: 3.0
EBD4,finsdot,LATIN SMALL LETTER INSULAR F WITH DOT ABOVE,MUFI: 3.0
EBD5,finssemiclosedot,LATIN SMALL LETTER SEMI-CLOSED INSULAR F WITH DOT ABOVE,MUFI: 3.0
EBD6,finsclosedot,LATIN SMALL LETTER CLOSED INSULAR F WITH DOT ABOVE,MUFI: 3.0
EBD7,fscapdot,LATIN LETTER SMALL CAPITAL F WITH DOT ABOVE,MUFI: 3.0
EBDA,hscapdot,LATIN LETTER SMALL CAPITAL H WITH DOT ABOVE,MUFI: 3.0
EBDB,kscapdot,LATIN LETTER SMALL CAPITAL K WITH DOT ABOVE,MUFI: 3.0
EBDC,lscapdot,LATIN LETTER SMALL CAPITAL L WITH DOT ABOVE,MUFI: 3.0
EBDD,mscapdot,LATIN LETTER SMALL CAPITAL M WITH DOT ABOVE,MUFI: 3.0
EBDE,Oogondot,LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE,MUFI: 3.0
EBDF,oogondot,LATIN SMALL LETTER O WITH OGONEK AND DOT ABOVE,MUFI: 3.0
EBE0,Oslashdotbl,LATIN CAPITAL LETTER O WITH STROKE AND DOT BELOW,MUFI: 3.0
EBE1,oslashdotbl,LATIN SMALL LETTER O WITH STROKE AND DOT BELOW,MUFI: 3.0
EBE2,Juml,LATIN CAPITAL LETTER J WITH DIAERESIS,MUFI: 3.0
EBE3,juml,LATIN SMALL LETTER J WITH DIAERESIS,MUFI: 3.0
